rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
10,10,3,OLD,20178449,쓰리 빌보드,2018-03-15,11462200,0.3,3352100,41.3,700900100,1338,243,22.2,85357,60,93
1,1,0,OLD,20180804,곤지암,2018-03-28,3452613511,39.6,1907442648,123.4,7699171474,423340,237529,127.8,993544,1075,5360
2,2,0,OLD,20171122,레디 플레이어 원,2018-03-28,2917268417,33.5,1671843405,134.2,5998401829,323881,189206,140.5,703528,1079,4594
3,3,1,OLD,20170669,지금 만나러 갑니다,2018-03-14,896251122,10.3,453875897,102.6,17841936003,108358,54207,100.1,2230419,736,2682
4,4,-1,OLD,20154908,7년의 밤,2018-03-28,798408161,9.2,326149198,69.1,2479450024,95491,38327,67,338087,725,2803
5,5,0,OLD,20174603,퍼시픽 림: 업라이징,2018-03-21,247275178,2.8,126903903,105.4,8568125095,30357,15765,108,1026926,486,1148
6,6,8,OLD,20181366,미니특공대X,2018-03-22,93117700,1.1,87369000,1519.8,532666200,12376,11588,1470.6,71110,347,542
7,7,-1,OLD,20178522,콜 미 바이 유어 네임,2018-03-22,86415500,1.0,23424300,37.2,962889400,9958,2686,36.9,116530,156,346
8,8,0,OLD,20181621,막달라 마리아: 부활의 증인,2018-03-28,28554500,0.3,13010500,83.7,81983500,3829,1712,80.9,11805,110,215
9,9,-2,OLD,20170841,리틀 포레스트,2018-02-28,28178300,0.3,10615400,60.4,11834061285,3561,1154,47.9,1493457,92,129
10,10,-1,OLD,20173962,소공녀,2018-03-22,26769100,0.3,12519700,87.9,313276200,3137,1414,82.1,39511,82,153
1,1,0,OLD,20180804,곤지암,2018-03-28,3047696300,40.3,-404917211,-11.7,10746867774,373836,-49504,-11.7,1367380,1124,5433
2,2,0,OLD,20171122,레디 플레이어 원,2018-03-28,2538255250,33.6,-379013167,-13,8536657079,283181,-40700,-12.6,986709,1058,4460
3,3,0,OLD,20170669,지금 만나러 갑니다,2018-03-14,749560000,9.9,-146691122,-16.4,18591496003,90812,-17546,-16.2,2321231,735,2587
4,4,0,OLD,20154908,7년의 밤,2018-03-28,669215700,8.8,-129192461,-16.2,3148665724,80035,-15456,-16.2,418122,705,2580
5,5,0,OLD,20174603,퍼시픽 림: 업라이징,2018-03-21,205295800,2.7,-41979378,-17,8773420895,25460,-4897,-16.1,1052386,489,1092
6,6,0,OLD,20181366,미니특공대X,2018-03-22,91198500,1.2,-1919200,-2.1,623864700,12122,-254,-2.1,83232,347,537
7,7,0,OLD,20178522,콜 미 바이 유어 네임,2018-03-22,74657400,1.0,-11758100,-13.6,1037546800,8661,-1297,-13,125191,164,345
8,8,0,OLD,20181621,막달라 마리아: 부활의 증인,2018-03-28,31589800,0.4,3035300,10.6,113573300,4145,316,8.3,15950,111,199
9,9,1,OLD,20173962,소공녀,2018-03-22,24119200,0.3,-2649900,-9.9,337395400,2835,-302,-9.6,42346,81,149
10,10,-1,OLD,20170841,리틀 포레스트,2018-02-28,21765300,0.3,-6413000,-22.8,11855826585,2747,-814,-22.9,1496204,88,126
1,1,0,OLD,20180804,곤지암,2018-03-28,844662000,40.8,-2203034300,-72.3,11591529774,109505,-264331,-70.7,1476885,927,4797
2,2,0,OLD,20171122,레디 플레이어 원,2018-03-28,629486200,30.4,-1908769050,-75.2,9166143279,74329,-208852,-73.8,1061038,959,4145
3,3,0,OLD,20170669,지금 만나러 갑니다,2018-03-14,210665700,10.2,-538894300,-71.9,18802161703,28444,-62368,-68.7,2349675,654,2439
4,4,0,OLD,20154908,7년의 밤,2018-03-28,181766900,8.8,-487448800,-72.8,3330432624,24482,-55553,-69.4,442604,608,2373
5,5,0,OLD,20174603,퍼시픽 림: 업라이징,2018-03-21,47685500,2.3,-157610300,-76.8,8821106395,6320,-19140,-75.2,1058706,427,1023
6,6,1,OLD,20178522,콜 미 바이 유어 네임,2018-03-22,38085800,1.8,-36571600,-49,1075632600,4860,-3801,-43.9,130051,156,388
7,7,1,OLD,20181621,막달라 마리아: 부활의 증인,2018-03-28,12736000,0.6,-18853800,-59.7,126309300,1948,-2197,-53,17898,99,203
8,8,0,NEW,20181561,덕구,2018-04-05,13568000,0.7,13568000,100,70770000,1696,1696,100,9453,6,6
9,9,1,OLD,20170841,리틀 포레스트,2018-02-28,11350700,0.5,-10414600,-47.8,11867177285,1626,-1121,-40.8,1497830,112,166
10,10,-1,OLD,20173962,소공녀,2018-03-22,9363600,0.5,-14755600,-61.2,346759000,1259,-1576,-55.6,43605,83,149
1,1,0,OLD,20180804,곤지암,2018-03-28,673013300,37.2,-171648700,-20.3,12264543074,87577,-21928,-20,1564462,977,4820
2,2,0,OLD,20171122,레디 플레이어 원,2018-03-28,536259700,29.6,-93226500,-14.8,9702402979,63033,-11296,-15.2,1124071,982,4133
3,3,0,OLD,20170669,지금 만나러 갑니다,2018-03-14,190049400,10.5,-20616300,-9.8,18992211103,25784,-2660,-9.4,2375459,681,2426
4,4,0,OLD,20154908,7년의 밤,2018-03-28,167159100,9.2,-14607800,-8,3497591724,22447,-2035,-8.3,465051,639,2340
5,5,0,OLD,20174603,퍼시픽 림: 업라이징,2018-03-21,37072000,2.0,-10613500,-22.3,8858178395,5016,-1304,-20.6,1063722,434,950
6,6,6,OLD,20153447,바람 바람 바람,2018-04-05,35442000,2.0,26478000,295.4,138891200,4785,3789,380.4,17428,38,38
7,7,-1,OLD,20178522,콜 미 바이 유어 네임,2018-03-22,32643900,1.8,-5441900,-14.3,1108276500,4221,-639,-13.1,134272,154,352
8,8,0,OLD,20181561,덕구,2018-04-05,17226000,1.0,3658000,27,87996000,2206,510,30.1,11659,8,8
9,9,-2,OLD,20181621,막달라 마리아: 부활의 증인,2018-03-28,11167500,0.6,-1568500,-12.3,137476800,1703,-245,-12.6,19601,104,200
10,10,0,NEW,20165045,머니백,2018-04-12,13644000,0.8,13644000,100,19628000,1516,1516,100,2508,5,7
1,1,0,OLD,20180804,곤지암,2018-03-28,701735100,37.8,28721800,4.3,12966278174,92046,4469,5.1,1656508,989,5240
2,2,0,OLD,20171122,레디 플레이어 원,2018-03-28,573146400,30.9,36886700,6.9,10275549379,68144,5111,8.1,1192215,962,4094
3,3,0,OLD,20170669,지금 만나러 갑니다,2018-03-14,208591900,11.2,18542500,9.8,19200803003,28134,2350,9.1,2403593,665,2380
4,4,0,OLD,20154908,7년의 밤,2018-03-28,139568600,7.5,-27590500,-16.5,3637160324,18854,-3593,-16,483905,582,2058
5,5,8,OLD,20178424,레이디 버드,2018-04-04,59284000,3.2,49845500,528.1,110958000,8017,6692,505.1,14237,336,823
6,6,-1,OLD,20174603,퍼시픽 림: 업라이징,2018-03-21,33576700,1.8,-3495300,-9.4,8891755095,4543,-473,-9.4,1068265,353,763
7,7,0,OLD,20178522,콜 미 바이 유어 네임,2018-03-22,32709500,1.8,65600,0.2,1140986000,4221,0,0,138493,146,360
8,8,0,NEW,20181788,콰이어트 플레이스,2018-04-12,26208000,1.4,26208000,100,26208000,3207,3207,100,3207,15,15
9,9,0,OLD,20181621,막달라 마리아: 부활의 증인,2018-03-28,10126900,0.5,-1040600,-9.3,147603700,1483,-220,-12.9,21084,93,171
10,10,2,OLD,20170841,리틀 포레스트,2018-02-28,8643100,0.5,-1312500,-13.2,11885775985,1251,-172,-12.1,1500504,94,135
1,1,83,OLD,20153447,바람 바람 바람,2018-04-05,712977000,30.1,712959000,3960883.3,851886200,95534,95532,4776600,112964,792,3677
2,2,-1,OLD,20180804,곤지암,2018-03-28,600953900,25.3,-100781200,-14.4,13567232074,78273,-13773,-15,1734781,896,4758
3,3,-1,OLD,20171122,레디 플레이어 원,2018-03-28,510856900,21.5,-62289500,-10.9,10786406279,60436,-7708,-11.3,1252651,819,3239
4,4,-1,OLD,20170669,지금 만나러 갑니다,2018-03-14,146223900,6.2,-62368000,-29.9,19347026903,19801,-8333,-29.6,2423394,507,1631
5,5,32,OLD,20181561,덕구,2018-04-05,124011100,5.2,123387100,19773.6,212631100,17766,17662,16982.7,29529,463,1760
6,6,-2,OLD,20154908,7년의 밤,2018-03-28,57670700,2.4,-81897900,-58.7,3694831024,7840,-11014,-58.4,491745,443,900
7,7,-2,OLD,20178424,레이디 버드,2018-04-04,51388300,2.2,-7895700,-13.3,162346300,6986,-1031,-12.9,21223,332,756
8,8,-1,OLD,20178522,콜 미 바이 유어 네임,2018-03-22,26682300,1.1,-6027200,-18.4,1167668300,3369,-852,-20.2,141862,134,284
9,9,0,NEW,20165045,머니백,2018-04-12,20920000,0.9,20920000,100,40548000,2571,2571,100,5079,14,14
10,10,0,NEW,20182922,문호 스트레이독스 [데드 애플],2018-04-05,18153000,0.8,18153000,100,29501000,2419,2419,100,3973,75,134
1,1,0,OLD,20153447,바람 바람 바람,2018-04-05,1036065712,30.3,323088712,45.3,1887951912,135974,40440,42.3,248938,955,4105
2,2,0,OLD,20180804,곤지암,2018-03-28,940223570,27.5,339269670,56.5,14507455644,111319,33046,42.2,1846100,922,4875
3,3,0,OLD,20171122,레디 플레이어 원,2018-03-28,808764270,23.7,297907370,58.3,11595170549,87037,26601,44,1339688,845,3329
4,4,0,OLD,20170669,지금 만나러 갑니다,2018-03-14,206732118,6.0,60508218,41.4,19553759021,25202,5401,27.3,2448596,528,1652
5,5,0,OLD,20181561,덕구,2018-04-05,161498800,4.7,37487700,30.2,374129900,20919,3153,17.7,50448,462,1703
6,6,1,OLD,20178424,레이디 버드,2018-04-04,64434700,1.9,13046400,25.4,226781000,7835,849,12.2,29058,344,783
7,7,-1,OLD,20154908,7년의 밤,2018-03-28,58774900,1.7,1104200,1.9,3753605924,7438,-402,-5.1,499183,439,826
8,8,0,OLD,20178522,콜 미 바이 유어 네임,2018-03-22,35071100,1.0,8388800,31.4,1202739400,3970,601,17.8,145832,133,268
9,9,1,OLD,20182922,문호 스트레이독스 [데드 애플],2018-04-05,13452500,0.4,-4700500,-25.9,42953500,1651,-768,-31.7,5624,75,135
10,10,1,OLD,20182021,번개맨과 신비의 섬,2018-04-05,12715500,0.4,-5121200,-28.7,35626200,1602,-755,-32,4597,120,146
1,1,1,OLD,20180804,곤지암,2018-03-28,1889606964,27.6,949383394,101,16397062608,226594,115275,103.6,2072694,950,5177
2,2,1,OLD,20171122,레디 플레이어 원,2018-03-28,1935002564,28.3,1126238294,139.3,13530173113,209751,122714,141,1549439,889,3541
3,3,-2,OLD,20153447,바람 바람 바람,2018-04-05,1757492229,25.7,721426517,69.6,3645444141,206378,70404,51.8,455316,985,4843
4,4,0,OLD,20170669,지금 만나러 갑니다,2018-03-14,357654807,5.2,150922689,73,19911413828,42484,17282,68.6,2491080,530,1482
5,5,0,OLD,20181561,덕구,2018-04-05,319529500,4.7,158030700,97.9,693659400,40590,19671,94,91038,509,1486
6,6,4,OLD,20182021,번개맨과 신비의 섬,2018-04-05,127793200,1.9,115077700,905,163419400,16093,14491,904.6,20690,182,407
7,7,-1,OLD,20178424,레이디 버드,2018-04-04,93072800,1.4,28638100,44.4,319853800,11090,3255,41.5,40148,310,599
8,8,0,NEW,20181788,콰이어트 플레이스,2018-04-12,69458900,1.0,69458900,100,106714900,8031,8031,100,12619,203,358
9,9,-2,OLD,20154908,7년의 밤,2018-03-28,64062700,0.9,5287800,9,3817668624,7793,355,4.8,506976,366,603
10,10,-2,OLD,20178522,콜 미 바이 유어 네임,2018-03-22,45547500,0.7,10476400,29.9,1248286900,5161,1191,30,150993,127,222
1,1,1,OLD,20171122,레디 플레이어 원,2018-03-28,1621365900,28.5,-313636664,-16.2,15151539013,176623,-33128,-15.8,1726062,888,3460
2,2,-1,OLD,20180804,곤지암,2018-03-28,1478341600,26.0,-411265364,-21.8,17875404208,175711,-50883,-22.5,2248405,947,4949
3,3,0,OLD,20153447,바람 바람 바람,2018-04-05,1382875900,24.3,-374616329,-21.3,5028320041,161658,-44720,-21.7,616974,968,4658
4,4,1,OLD,20181561,덕구,2018-04-05,371043900,6.5,51514400,16.1,1064703300,46814,6224,15.3,137852,544,1540
5,5,-1,OLD,20170669,지금 만나러 갑니다,2018-03-14,291420500,5.1,-66234307,-18.5,20202834328,34655,-7829,-18.4,2525735,521,1417
6,6,0,OLD,20182021,번개맨과 신비의 섬,2018-04-05,125961800,2.2,-1831400,-1.4,289381200,15726,-367,-2.3,36416,191,418
7,7,0,OLD,20178424,레이디 버드,2018-04-04,79319700,1.4,-13753100,-14.8,399173500,9604,-1486,-13.4,49752,309,578
8,8,0,OLD,20181788,콰이어트 플레이스,2018-04-12,79251700,1.4,9792800,14.1,185966600,9169,1138,14.2,21788,206,356
9,9,0,OLD,20154908,7년의 밤,2018-03-28,52622300,0.9,-11440400,-17.9,3870290924,6380,-1413,-18.1,513356,338,537
10,10,1,OLD,20181366,미니특공대X,2018-03-22,40496000,0.7,5323300,15.1,714136400,5397,577,12,95562,163,246
1,1,2,OLD,20153447,바람 바람 바람,2018-04-05,429372800,27.5,-953503100,-69,5457692841,56883,-104775,-64.8,673857,881,4320
2,2,0,OLD,20180804,곤지암,2018-03-28,362343100,23.2,-1115998500,-75.5,18237747308,47017,-128694,-73.2,2295422,843,4288
3,3,-2,OLD,20171122,레디 플레이어 원,2018-03-28,365487600,23.4,-1255878300,-77.5,15517026613,43926,-132697,-75.1,1769988,786,3194
4,4,0,OLD,20181561,덕구,2018-04-05,119270700,7.7,-251773200,-67.9,1183974000,16405,-30409,-65,154257,467,1560
5,5,0,OLD,20170669,지금 만나러 갑니다,2018-03-14,88909200,5.7,-202511300,-69.5,20291743528,11969,-22686,-65.5,2537704,484,1454
6,6,1,OLD,20178424,레이디 버드,2018-04-04,38586500,2.5,-40733200,-51.4,437760000,5188,-4416,-46,54940,287,643
7,7,0,NEW,20176917,램페이지,2018-04-12,41887000,2.7,41887000,100,41887000,3430,3430,100,3430,12,12
8,8,1,OLD,20154908,7년의 밤,2018-03-28,21242500,1.4,-31379800,-59.6,3891533424,2967,-3413,-53.5,516323,330,578
9,9,2,OLD,20178522,콜 미 바이 유어 네임,2018-03-22,19003500,1.2,-18671200,-49.6,1304965100,2420,-1862,-43.5,157695,128,258
10,10,0,NEW,20182323,임을 위한 행진곡,2018-05-16,8832000,0.6,8832000,100,8832000,1104,1104,100,1104,3,3
1,1,0,OLD,20153447,바람 바람 바람,2018-04-05,415622900,29.5,-13749900,-3.2,5873315741,54858,-2025,-3.6,728715,884,4329
2,2,0,OLD,20180804,곤지암,2018-03-28,312640700,22.2,-49702400,-13.7,18550388008,40526,-6491,-13.8,2335948,845,4198
3,3,0,OLD,20171122,레디 플레이어 원,2018-03-28,324751100,23.0,-40736500,-11.1,15841777713,38108,-5818,-13.2,1808096,777,3126
4,4,0,OLD,20181561,덕구,2018-04-05,115330600,8.2,-3940100,-3.3,1299304600,15888,-517,-3.2,170145,486,1600
5,5,0,OLD,20170669,지금 만나러 갑니다,2018-03-14,82983100,5.9,-5926100,-6.7,20374726628,11241,-728,-6.1,2548945,495,1428
6,6,0,OLD,20178424,레이디 버드,2018-04-04,37808600,2.7,-777900,-2,475568600,5168,-20,-0.4,60108,297,635
7,7,1,OLD,20154908,7년의 밤,2018-03-28,20343800,1.4,-898700,-4.2,3911877224,2785,-182,-6.1,519108,329,550
8,8,1,OLD,20178522,콜 미 바이 유어 네임,2018-03-22,18889600,1.3,-113900,-0.6,1323854700,2421,1,0,160116,131,255
9,9,68,OLD,20128386,라이프 오브 파이,2013-01-01,10513500,0.7,10336500,5839.8,15894650500,1514,1497,8805.9,1595960,16,17
10,10,2,OLD,20182021,번개맨과 신비의 섬,2018-04-05,5796500,0.4,659500,12.8,300314700,795,101,14.6,37905,106,132
1,1,0,OLD,20153447,바람 바람 바람,2018-04-05,456117500,28.1,40494600,9.7,6329433241,58994,4136,7.5,787709,876,4255
2,2,1,OLD,20171122,레디 플레이어 원,2018-03-28,373564700,23.0,48813600,15,16215342413,43136,5028,13.2,1851232,786,3134
3,3,-1,OLD,20180804,곤지암,2018-03-28,322855400,19.9,10214700,3.3,18873243408,40888,362,0.9,2376836,844,4045
4,4,0,OLD,20181561,덕구,2018-04-05,142929400,8.8,27598800,23.9,1442234000,19560,3672,23.1,189705,505,1599
5,5,0,OLD,20170669,지금 만나러 갑니다,2018-03-14,89537800,5.5,6554700,7.9,20464264428,11675,434,3.9,2560620,479,1406
6,6,0,NEW,20182352,"그날, 바다",2018-04-12,59444000,3.7,59444000,100,64322000,7319,7319,100,7865,161,263
7,7,-1,OLD,20178424,레이디 버드,2018-04-04,42531300,2.6,4722700,12.5,518099900,5473,305,5.9,65581,290,616
8,8,0,OLD,20178522,콜 미 바이 유어 네임,2018-03-22,21847500,1.3,2957900,15.7,1345702200,2619,198,8.2,162735,128,258
9,9,-2,OLD,20154908,7년의 밤,2018-03-28,18855300,1.2,-1488500,-7.3,3930732524,2456,-329,-11.8,521564,309,499
10,10,-1,OLD,20128386,라이프 오브 파이,2013-01-01,15361800,0.9,4848300,46.1,15910012300,1553,39,2.6,1597513,18,20
1,1,0,OLD,20176917,램페이지,2018-04-12,914675475,30.4,309788225,51.2,1563960725,104368,29589,39.6,182874,836,3950
2,2,1,OLD,20181788,콰이어트 플레이스,2018-04-12,426585487,14.2,138278487,48,905413087,48722,12772,35.5,106966,589,2568
3,3,-1,OLD,20153447,바람 바람 바람,2018-04-05,364532712,12.1,84241812,30.1,6974256853,42063,5989,16.6,865846,608,2650
4,4,2,OLD,20171122,레디 플레이어 원,2018-03-28,336169788,11.2,138454788,70,16749227201,37051,13605,58,1911729,559,1841
5,5,0,OLD,20180804,곤지암,2018-03-28,322938213,10.7,126890613,64.7,19392229221,37043,12755,52.5,2438167,552,2096
6,6,-2,OLD,20182352,"그날, 바다",2018-04-12,269762500,9.0,77705700,40.5,526141300,31321,6728,27.4,63779,550,1319
7,7,1,OLD,20181561,덕구,2018-04-05,75848200,2.5,30480100,67.2,1563450300,9991,3576,55.7,206111,339,605
8,8,-1,OLD,20165045,머니백,2018-04-12,65283500,2.2,8967400,15.9,162147600,8000,334,4.4,20745,463,1175
9,9,0,OLD,20170669,지금 만나러 갑니다,2018-03-14,44920500,1.5,14230600,46.4,20539874828,5468,1364,33.2,2570192,219,368
10,10,0,OLD,20128386,라이프 오브 파이,2013-01-01,33463900,1.1,8014900,31.5,15968925200,3010,484,19.2,1603049,84,205
1,1,0,OLD,20176917,램페이지,2018-04-12,480892900,30.7,-1535705100,-76.2,6471464972,59825,-169581,-73.9,746443,829,4077
2,2,3,OLD,20182352,"그날, 바다",2018-04-12,261960700,16.7,-210574800,-44.6,1771398100,33962,-21404,-38.7,212227,545,1649
3,3,-1,OLD,20181788,콰이어트 플레이스,2018-04-12,204679700,13.1,-425751900,-67.5,2531921364,25204,-45046,-64.1,290900,553,2400
4,4,0,OLD,20153447,바람 바람 바람,2018-04-05,176245600,11.2,-339478400,-65.8,8429893283,22433,-35213,-61.1,1032070,550,2438
5,5,-2,OLD,20171122,레디 플레이어 원,2018-03-28,141392100,9.0,-473721500,-77,18313987371,16533,-50097,-75.2,2082635,507,1666
6,6,0,OLD,20180804,곤지암,2018-03-28,109182800,7.0,-352858000,-76.4,20627729444,13543,-39249,-74.3,2580801,498,1681
7,7,0,OLD,20181561,덕구,2018-04-05,39794300,2.5,-119161400,-75,1933555800,5565,-14340,-72,253326,318,612
8,8,1,OLD,20165045,머니백,2018-04-12,23920500,1.5,-37268900,-60.9,347221200,3203,-4146,-56.4,43312,406,763
9,9,1,OLD,20170669,지금 만나러 갑니다,2018-03-14,22555500,1.4,-36590000,-61.9,20702258728,3022,-3901,-56.3,2589462,202,324
10,10,2,OLD,20128386,라이프 오브 파이,2013-01-01,17994500,1.1,-41504900,-69.8,16112614900,1815,-3570,-66.3,1616238,79,186
1,1,0,OLD,20176917,램페이지,2018-04-12,362165600,26.3,-65337800,-15.3,7676196972,44323,-8944,-16.8,895658,737,3349
2,2,0,NEW,20177266,나를 기억해,2018-04-19,153116700,11.1,153116700,100,161263500,18797,18797,100,19630,484,2267
3,3,-1,OLD,20182352,"그날, 바다",2018-04-12,144004000,10.4,-31085400,-17.8,2268257300,18235,-4669,-20.4,276590,569,1632
4,4,-1,OLD,20181788,콰이어트 플레이스,2018-04-12,134169300,9.7,-47657700,-26.2,3027668364,16085,-6366,-28.4,351730,457,1588
5,5,-1,OLD,20153447,바람 바람 바람,2018-04-05,110122600,8.0,-51257600,-31.8,8870459683,13827,-6829,-33.1,1088277,456,1481
6,6,-1,OLD,20171122,레디 플레이어 원,2018-03-28,113144800,8.2,-14412300,-11.3,18681020371,12565,-2306,-15.5,2124765,429,1128
7,7,-1,OLD,20180804,곤지암,2018-03-28,69530800,5.0,-23001600,-24.9,20885754544,8387,-3189,-27.5,2612657,374,862
8,8,0,NEW,20182701,크리미널 스쿼드,2018-04-19,36684600,2.7,36684600,100,39376600,4826,4826,100,5165,361,801
9,9,-2,OLD,20181561,덕구,2018-04-05,29876100,2.2,-9818900,-24.7,2041295700,4116,-1597,-28,268552,219,418
10,10,30,OLD,20182494,몬태나,2018-04-19,27613900,2.0,26483900,2343.7,45352400,3775,3649,2896,5821,272,558
1,1,0,OLD,20176917,램페이지,2018-04-12,1332310500,35.6,-6353665,-0.5,10937424827,147341,-2239,-1.5,1259480,879,4188
2,2,1,OLD,20182352,"그날, 바다",2018-04-12,379421300,10.1,12197800,3.3,3223432200,43024,1116,2.7,385781,639,1994
3,3,-1,OLD,20181788,콰이어트 플레이스,2018-04-12,363807700,9.7,-50968372,-12.3,4025494127,39103,-6170,-13.6,460502,515,1760
4,4,0,OLD,20171122,레디 플레이어 원,2018-03-28,365108700,9.8,-41545300,-10.2,19643312671,37070,-4233,-10.2,2222584,494,1298
5,5,0,OLD,20177266,나를 기억해,2018-04-19,291744700,7.8,-12510535,-4.1,960885745,31541,-1970,-5.9,107275,522,2197
6,6,0,OLD,20153447,바람 바람 바람,2018-04-05,249210000,6.7,8457007,3.5,9512223775,27399,803,3,1159447,492,1557
7,7,0,OLD,20180804,곤지암,2018-03-28,156469000,4.2,-36975900,-19.1,21332218044,17253,-4444,-20.5,2662377,416,928
8,8,0,OLD,20182360,정글번치: 최강 악당의 등장,2018-04-19,127444700,3.4,35395800,38.5,250587900,15690,4067,35,31087,331,515
9,9,0,OLD,20181561,덕구,2018-04-05,80252100,2.1,3085400,4,2236629800,9658,47,0.5,292804,246,476
10,10,0,OLD,20182701,크리미널 스쿼드,2018-04-19,52407700,1.4,2666200,5.4,181371900,5967,317,5.6,21562,337,631
1,1,0,OLD,20176917,램페이지,2018-04-12,353715900,30.0,-978594600,-73.5,11291140727,43247,-104094,-70.6,1302727,799,3700
2,2,0,OLD,20182352,"그날, 바다",2018-04-12,133871300,11.4,-245550000,-64.7,3357303500,16952,-26072,-60.6,402733,564,1893
3,3,2,OLD,20177266,나를 기억해,2018-04-19,111802000,9.5,-179942700,-61.7,1072687745,13880,-17661,-56,121155,499,2086
4,4,2,OLD,20153447,바람 바람 바람,2018-04-05,108671000,9.2,-140539000,-56.4,9620894775,13678,-13721,-50.1,1173125,474,1544
5,5,-2,OLD,20181788,콰이어트 플레이스,2018-04-12,109020700,9.3,-254787000,-70,4134514827,13131,-25972,-66.4,473633,464,1613
6,6,-2,OLD,20171122,레디 플레이어 원,2018-03-28,91647500,7.8,-273461200,-74.9,19734960171,10166,-26904,-72.6,2232750,446,1166
7,7,0,OLD,20180804,곤지암,2018-03-28,42851900,3.6,-113617100,-72.6,21375069944,5227,-12026,-69.7,2667604,361,781
8,8,1,OLD,20181561,덕구,2018-04-05,27844300,2.4,-52407800,-65.3,2264474100,3824,-5834,-60.4,296628,224,449
9,9,2,OLD,20182494,몬태나,2018-04-19,23363700,2.0,-24631000,-51.3,189614100,3170,-2524,-44.3,23424,250,460
10,10,0,OLD,20182701,크리미널 스쿼드,2018-04-19,22994100,2.0,-29413600,-56.1,204366000,3003,-2964,-49.7,24565,326,629
1,1,0,OLD,20177478,어벤져스: 인피니티 워,2018-04-25,5195838900,94.3,-1733432200,-25,12134470000,595668,-384374,-39.2,1576334,2394,11628
2,2,0,OLD,20182352,"그날, 바다",2018-04-12,61046100,1.1,-9132100,-13,3614430900,7832,-3448,-30.6,438102,391,696
3,3,1,OLD,20167007,살인소설,2018-04-25,40861400,0.7,-8922600,-17.9,110997400,5260,-2567,-32.8,15631,434,863
4,4,1,OLD,20176917,램페이지,2018-04-12,35383700,0.6,-8870400,-20,11655469227,4402,-2861,-39.4,1349578,344,588
5,5,1,OLD,20181788,콰이어트 플레이스,2018-04-12,21979600,0.4,2970000,15.6,4273175927,2639,-230,-8,490995,151,215
6,6,-3,OLD,20182561,당갈,2018-04-25,17026100,0.3,-48064400,-73.8,233592600,2235,-5741,-72,28254,250,443
7,7,0,OLD,20153447,바람 바람 바람,2018-04-05,10313500,0.2,-2399900,-18.9,9737219175,1354,-669,-33.1,1188334,79,125
8,8,0,NEW,20177005,레슬러,2018-05-09,10080000,0.2,10080000,100,20484000,1260,1260,100,2626,6,6
9,9,0,NEW,19990050,박하사탕,2000-01-01,8052000,0.1,8052000,100,20278500,884,884,100,2218,33,78
10,10,0,NEW,20183195,레오나르도 다 빈치,2018-04-26,6933300,0.1,6933300,100,13193300,869,869,100,1613,64,66
1,1,0,OLD,20177478,어벤져스: 인피니티 워,2018-04-25,4360209000,92.3,-5947208400,-57.7,46128544531,495787,-619159,-55.5,5260282,2462,12255
2,2,0,OLD,20182352,"그날, 바다",2018-04-12,77089500,1.6,-44535800,-36.6,4021573900,9993,-4215,-29.7,486288,415,703
3,3,0,OLD,20176917,램페이지,2018-04-12,42920000,0.9,-30244900,-41.3,11895097696,5614,-2982,-34.7,1378271,300,489
4,4,0,OLD,20167007,살인소설,2018-04-25,40174700,0.9,-32396600,-44.6,347287500,5252,-3065,-36.9,43620,409,742
5,5,1,OLD,20182561,당갈,2018-04-25,31219100,0.7,-11076700,-26.2,372199000,4078,-957,-19,44924,242,384
6,6,1,OLD,20181788,콰이어트 플레이스,2018-04-12,24098700,0.5,-8190600,-25.4,4403519949,2928,-719,-19.7,505803,127,198
7,7,0,NEW,20189783,챔피언,2018-05-01,24546000,0.5,24546000,100,30074000,2760,2760,100,3455,11,11
8,8,0,NEW,20177005,레슬러,2018-05-09,20403000,0.4,20403000,100,40887000,2552,2552,100,5178,14,14
9,9,2,OLD,20153447,바람 바람 바람,2018-04-05,8525200,0.2,91000,1.1,9774297575,1131,135,13.6,1192907,64,116
10,10,-5,OLD,20183195,레오나르도 다 빈치,2018-04-26,8245700,0.2,-55931000,-87.2,155759100,1127,-6762,-85.7,19267,89,108
1,1,0,OLD,20177478,어벤져스: 인피니티 워,2018-04-25,6013244200,80.7,1653035200,37.9,52141788731,717324,221537,44.7,5977606,2141,10730
2,2,5,OLD,20189783,챔피언,2018-05-01,1101385100,14.8,1076839100,4387,1131459100,139965,137205,4971.2,143420,795,3892
3,3,-1,OLD,20182352,"그날, 바다",2018-04-12,73469700,1.0,-3619800,-4.7,4095043600,9958,-35,-0.4,496246,258,396
4,4,6,OLD,20183195,레오나르도 다 빈치,2018-04-26,45921600,0.6,37675900,456.9,201680700,6353,5226,463.7,25620,135,198
5,5,6,OLD,20182990,아기곰 보보 구출 대작전,2018-04-25,29083000,0.4,23170500,391.9,105708000,4256,3316,352.8,14536,143,169
6,6,-1,OLD,20182561,당갈,2018-04-25,28724800,0.4,-2494300,-8,400923800,3922,-156,-3.8,48846,185,225
7,7,-4,OLD,20176917,램페이지,2018-04-12,19432600,0.3,-23487400,-54.7,11914530296,2607,-3007,-53.6,1380878,110,146
